,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,cname
185,0.51899999,TZA,Subsaharian,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498,Tanzania
145,0.76200002,KNA,Caribbean,11237.75,,,8.680000300000001,,5.080365180969238,St Kitts and Nevis
167,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063,Sweden
132,0.78500003,PAN,Latam,15137.04,3.788000106811523,15.899999618530268,6.7399998,7.400000099999999,8.025723457336426,Panama
141,0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,6.300000190734862,1.15,,2.18706226348877,Qatar
172,0.484,TGO,Subsaharian,1036.28,6.928999900817871,,1.4400001,,5.2468767166137695,Togo
18,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102,Bosnia and Herzegovina
178,0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107,Turkmenistan
135,0.73699999,PER,Latam,9227.1504,30.80900001525879,14.100000381469732,5.380000099999999,,5.473034858703613,Peru
89,,PRK,EastAsia,1727.8199,,,3.3499999,,,"Korea, North"
32,0.34700000000000003,CAF,Subsaharian,690.03998,,,1.66,,4.2002220153808585,Central African Republic
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,3.4000000953674316,10.75,23.200001,7.783196449279785,Ireland
154,0.43099999,SLE,Subsaharian,979.9500099999999,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333,Sierra Leone
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125,Maldives
144,0.493,RWA,Subsaharian,1440.39,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826,Rwanda
186,0.91799998,USA,WesternDem,47769.699,318.7890014648438,6.0,8.819999699999999,18.1,17.140754699707028,United States
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.7999999523162842,7.4499998,17.5,8.859166145324707,Iceland
5,0.78399998,ATG,Caribbean,12257.71,,,8.5600004,,5.5416831970214835,Antigua and Barbuda
92,0.662,KGZ,EastEurope,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709,Kyrgyzstan
148,,SMR,WesternDem,42664.210999999996,0.034000001847743995,,,,6.1290650367736825,San Marino
133,0.51499999,PNG,Pacific,1693.54,6.880000114440918,,0.88,,4.263570785522462,Papua New Guinea
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872,Luxembourg
95,0.495,LSO,Subsaharian,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432,Lesotho
9,0.89200002,AUT,WesternDem,38868.039,8.543999671936035,3.2999999523162837,12.32,,11.20547294616699,Austria
181,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916,Ukraine
